time,H_median,H_lower,H_upper,S_median,S_lower,S_upper
22,0.48415120631998065,0.35915639629772184,0.6285719137131119,0.6162200185062104,0.5333529314050102,0.6982651367292022
23,0.5395748578468704,0.40606126051319125,0.6978350747594605,0.5829960558928647,0.4976615384130667,0.666269350172341
24,0.5600107876820183,0.4190507521335907,0.7270043229034042,0.571202901860305,0.48335479832052686,0.6576708162236715
25,0.6617859820306397,0.5009408909191589,0.8504384471099968,0.5159290711138429,0.42722757418328106,0.6059602489119705
26,0.70654757554039,0.5296072045837517,0.9094210122192192,0.4933444952997746,0.4027573481223066,0.5888362164257839
27,0.727080625515747,0.5496485020661545,0.9312140069566498,0.48331791849375805,0.39407501005398876,0.577152642692249
29,0.8216945562905388,0.6165786894977455,1.055719715534401,0.43968595027264556,0.34794191796584983,0.5397880645604364
30,0.8945645877058639,0.6948220392425346,1.1188097403337096,0.4087855501511004,0.32666838351747196,0.49916327155525153
31,0.9531355945376435,0.7402658528797912,1.2043578841342544,0.3855302596380934,0.2998844982976185,0.47698709027178054
32,1.037639565128212,0.8118987793350448,1.2949357126063157,0.3542899741542558,0.27391547307728326,0.44401418034984036
34,1.1647590375353623,0.9226417738287888,1.4465182443719864,0.31199783274236254,0.23538842796959164,0.3974676333137477
36,1.303559097374077,1.0332522498880006,1.6125716770288279,0.27156354990294057,0.1993742281040754,0.3558477707308733
37,1.3426765067774962,1.060537095409481,1.6693918023127938,0.261145773927922,0.1883615918924626,0.3462697804671059
38,1.3782955518653488,1.0861435553618242,1.7238846979203033,0.25200772129884014,0.17837187940391172,0.3375155973517582
40,1.4934288865135574,1.189167104632515,1.8514313969809724,0.2246012016501021,0.1570122585130441,0.3044747540989183
44,1.5812187806720541,1.2788944903580093,1.9291463723776627,0.20572421265455273,0.1452721538935358,0.2783448433341663
45,1.6309596719389343,1.3178340755886995,1.993523175307617,0.19574163620641044,0.13621467088651662,0.26771452388650857
46,1.8268148827027513,1.4714839833013533,2.234245171824036,0.16092531836479307,0.10707292101522077,0.22958453265265538
47,1.8778383885947039,1.5166867384628677,2.296951644293594,0.15292030302033632,0.10056493464115421,0.21943773843885836
48,1.9358492084970245,1.5676922308205032,2.351442755541573,0.1443016745686894,0.09523166703808277,0.2085258570465924
49,2.056924018543396,1.670127213348236,2.5042197885592654,0.12784661952468485,0.0817393470869258,0.18822311962239
53,2.11938645860466,1.7218623388152123,2.5850099801540756,0.12010529548085529,0.0753953271403915,0.17873297640915262
55,2.188705597558594,1.7688680618289567,2.6720034551750564,0.11206170772744675,0.0691136204708177,0.17052590440090235
57,2.3317145366843794,1.8657499475559616,2.8586051473480225,0.09712907288726084,0.05734869748495982,0.15478008939845606
58,2.4071310870656206,1.9329015145267487,2.965131411372757,0.09007333680591378,0.05155369405824874,0.14472765927254289
60,2.486855081355667,1.9756077807648278,3.076042101674652,0.08317112211607397,0.0461415191642938,0.13867700141031825
61,2.5782916116098407,2.049561581177826,3.1911365202911757,0.07590356609124918,0.04112510485265679,0.12879135576655248
68,2.6797005024375156,2.1102841177508695,3.346816621296959,0.06858369172714636,0.035196218845954384,0.12120352546791512
69,2.897191327428093,2.267909918377495,3.653584221752701,0.05517797949796023,0.025898137559736367,0.10352833678595996
83,3.0348191480241775,2.440601933216667,3.7469687627981565,0.04808335805961014,0.023589141876620295,0.08710840223734223
94,3.242939536389847,2.562782978196907,4.078895832646675,0.03904894044364744,0.016926144634769786,0.07708990211997296
96,3.483589478768997,2.71331443722908,4.459507367949981,0.03069702671452383,0.011568060681442118,0.06631663971214553
105,3.806532213407402,2.880667988228302,5.025711837504502,0.022225117441094476,0.006566910257756407,0.05609727799447164
122,4.469469362244301,3.114544331887245,6.731815477663879,0.011453391840429651,0.0011923662776120632,0.04439873362601811
